Type,Category,Name,Description,Units,Possible Reasons for blank values
Dimension,Network,First VPN Estimated,Indicates high probability of a connection over a Virtual Private Network (VPN). <br/>**Possible values:** 0 or 1,,
Dimension,Network,Second VPN Estimated,Indicates high probability of a connection over a Virtual Private Network (VPN). <br/>**Possible values:** 0 or 1,,
Dimension,Network,First Roaming Count,"Indicates number of times the first endpoint performed a lightweight reconnect mid-call where signaling wasn't involved. For example, when an endpoint switches wireless access points on the same network. <br/>**Example value:** 064: [1 - 2)",,
Dimension,Network,Second Roaming Count,"Indicates number of times the second endpoint performed a lightweight reconnect mid-call where signaling wasn't involved. For example, when an endpoint switches wireless access points on the same network. <br/>**Example value:** 064: [1 - 2)",,
Dimension,Network,First Recv AV Sync Distance Avg,The average difference between audio and video modality (video or VBSS) network delays in milliseconds for the first endpoint. A positive value would mean that audio arrived later than the video.,,
Dimension,Network,Second Recv AV Sync Distance Avg,The average difference between audio and video modality (video orVBSS) network delays in milliseconds for the second endpoint. A positive value would mean that audio arrived later than the video.,,
Dimension,Network,First Recv AV Sync Distance Max,The maximum difference value of how much video or VBSS is ahead of the audio for the first endpoint in milliseconds.,,
Dimension,Network,Second Recv AV Sync Distance Max,The maximum difference value of how much video or VBSS is ahead of the audio for the second endpoint in milliseconds.,,
Dimension,Network,First Recv AV Sync Distance Min,The minimum difference value of how much video or VBSS is ahead of the audio for the first endpoint in milliseconds.,,
Dimension,Network,Second Recv AV Sync Distance Min,The minimum difference value of how much video or VBSS is ahead of the audio for the second endpoint in milliseconds.,,
Dimension,Network,First Recv AV Sync Distance Std Dev,The standard deviation of the difference in audio/video sync delay for the first endpoint. Higher values are indicative of a larger variation of the offsync and can indicate burstier video transmission.,,
Dimension,Network,Second Recv AV Sync Distance Std Dev,The standard deviation of the difference in audio/video sync delay for the second endpoint. Higher values are indicative of a larger variation of the offsync and can indicate burstier video transmission.,,
Dimension,Network,Outbound Bit Rate Avg,The average bit rate of the outbound audio stream in kbps. Must be used with Stream Direction.,,&bull; The stream wasn't an audio stream.
Dimension,Network,Network Score,"Network Score is a value computed from network round-trip time, packet loss, and jitter. It is a ranking of the network quality for a Teams call or stream in a single number, with higher values being better.",,
Dimension,Network,First Web Network Receive Good Ratio,,,
Dimension,Network,Second Web Network Receive Good Ratio,,,
Dimension,Network,First Web Network Receive Bad Ratio,,,
Dimension,Network,Second Web Network Receive Bad Ratio,,,
Dimension,Network,First Web Network Send Good Ratio,,,
Dimension,Network,Second Web Network Send Good Ratio,,,
Dimension,Network,First Web Network Send Bad Ratio,,,
Dimension,Network,Second Web Network Send Bad Ratio,,,
Dimension,Network,First Is VPN Combined,,,
Dimension,Network,Second Is VPN Combined,,,
Dimension,Device,First Capture Dev,Name of the capture device used by the first endpoint. For: <br/> **Audio streams** = device used for the microphone <br/> **Video streams** = device used for the camera <br/> **Video-based-screen-sharing streams** = screen scraper <br/> **App sharing streams** = blank <br/> **Example value:** Headset Microphone (Microsoft LifeChat LX-6000),,&bull; The endpoint didn't report the data <br/>&bull; The media path wasn't established <br/>&bull; The stream was video-based screen sharing or application sharing.
Dimension,Device,Second Capture Dev,Name of the capture device used by the second endpoint.  <br/> **Audio streams** = device used for the microphone <br/> **Video streams** = device used for the camera <br/> **Video-based-screen-sharing streams** = screen scraper <br/> **App sharing streams** = blank <br/> **Example value:** Headset Microphone (Microsoft LifeChat LX-6000),,<br/>&bull; The endpoint didn't report data <br/>&bull; Media path wasn't established <br/>&bull; The stream was video-based screen sharing or application sharing
Dimension,Device,First Capture Dev Driver,"Name of the capture device driver used by the first endpoint in the form of ""manufacturer : version"". For: <br/> **Audio streams** = driver used for the microphone <br/> **Video streams** = driver used for the camera <br/> **Video-based-screen-sharing and app sharing streams** = blank  <br/> **Example value:** Microsoft: 10.0.14393.0",,<br/>&bull; The endpoint didn't report data <br/>&bull; The media path wasn't established <br/>&bull; The stream was video-based screen sharing or application sharing.
Dimension,Device,Second Capture Dev Driver,"Name of the capture device driver used by the second endpoint in the form of ""manufacturer : version"". For: <br/> **Audio streams** = driver used for the microphone <br/> **Video streams** = driver used for the camera <br/> **Video-based-screen-sharing and app sharing streams** = blank <br/> **Example value:** Microsoft: 10.0.14393.0",,<br/>&bull; The endpoint didn't report data <br/>&bull; The media path wasn't established <br/>&bull; The stream was video-based screen sharing or application sharing.
Dimension,Device,First Render Dev,Name of the render device used by the first endpoint. For: <br/> Audio streams - device used for the speaker <br/> Video and video-based-screen-sharing streams - device used for the display <br/> App sharing streams - blank  <br/> **Example value:** Headset Earphone (Microsoft LifeChat LX-6000),,<br/>&bull; The endpoint didn't report this data <br/>&bull; The media path wasn't established  <br/>&bull; The stream was application sharing
Dimension,Device,Second Render Dev,Name of the render device used by the second endpoint. For: <br/> Audio streams - device used for the speaker <br/> Video and video-based-screen-sharing streams - device used for the display <br/> App sharing streams - blank <br/> **Example value:** Headset Earphone (Microsoft LifeChat LX-6000),,"<br/>&bull; The endpoint didn't report this data, <br/>&bull; Media path wasn't established <br/>&bull; The stream was application sharing"
Dimension,Device,First Render Dev Driver,Name of the render device driver used by the first endpoint. For: <br/> Audio streams - driver used for the speaker <br/> Video and video-based-screen-sharing streams - driver used for the display <br/> App sharing streams - blank  <br/> **Example value:** Microsoft: 10.0.14393.0,,<br/>&bull; The endpoint didn't report this data <br/>&bull; Media path wasn't established <br/>&bull; The stream was application sharing
Dimension,Device,Second Render Dev Driver,Name of the render device driver used by the second endpoint. For: <br/> Audio streams - driver used for the speaker <br/> Video and video-based-screen-sharing streams - driver used for the display <br/> App sharing streams - blank <br/> **Example value:** Microsoft: 10.0.14393.0,,<br/>&bull; The endpoint didn't report this data <br/>&bull; Media path wasn't established <br/>&bull; The stream was application sharing
Dimension,Device,First Audio Devices Connection Type,"The connection interface or type of the audio device used on the first endpoint <br/> Possible values: BlueTooth, HDAudio, Internal, Mixed, PCI, USB, Other",,
Dimension,Device,Second Audio Devices Connection Type,"The connection interface or type of the audio device used on the first endpoint <br/> Possible values: BlueTooth, HDAudio, Internal, Mixed, PCI, USB, Other",,
Dimension,Device,First Audio Device General Failure,Indicates if a general hardware failure is detected on the audio device of the first endpoint.,,
Dimension,Device,Second Audio Device General Failure,Indicates if a general hardware failure is detected on the audio device of the second endpoint.,,
Dimension,Device,First Mic Device Failure,Indicates if an audio capture device failure is detected on the first endpoint.,,
Dimension,Device,Second Mic Device Failure,Indicates if an audio capture device failure is detected on the second endpoint.,,
Dimension,Device,First No Mic Devices Enumerated Failure,Indicates that no audio capture devices were detected on the first endpoint.,,
Dimension,Device,Second No Mic Devices Enumerated Failure,Indicates that no audio capture devices were detected on the second endpoint.,,
Dimension,Device,First Mic Is Silent,,,
Dimension,Device,Second Mic Is Silent,,,
Dimension,Device,First Mic Initialization Failure,Indicates that a failure occurred during the hardware initialization of the microphone device on the first endpoint.,,
Dimension,Device,Second Mic Initialization Failure,Indicates that a failure occurred during the hardware initialization of the microphone device on the second endpoint.,,
Dimension,Device,First Mic Connection Type,"The connection interface or type of the microphone device used on the first endpoint <br/> Possible values: BlueTooth, HDAudio, Internal, PCI, USB, Virtual, Other",,
Dimension,Device,Second Mic Connection Type,"The connection interface or type of the microphone device used on the second endpoint <br/> Possible values: BlueTooth, HDAudio, Internal, PCI, USB, Virtual, Other",,
Dimension,Device,First Speaker Device Failure,,,
Dimension,Device,Second Speaker Device Failure,,,
Dimension,Device,First No Speaker Devices Enumerated Failure,,,
Dimension,Device,Second No Speaker Devices Enumerated Failure,,,
Dimension,Device,First Speaker Initialization Failure,,,
Dimension,Device,Second Speaker Initialization Failure,,,
Dimension,Device,First Speaker Connection Type,,,
Dimension,Device,Second Speaker Connection Type,,,
Dimension,Device,First Audio Capture Connection Type,,,
Dimension,Device,Second Audio Capture Connection Type,,,
Dimension,Device,First Audio Render Connection Type,,,
Dimension,Device,Second Audio Render Connection Type,,,
Dimension,Device,First Compute Device Name,The detected system manufacturer and system model of the first endpoint. <br/> Example: microsoft corporation surface pro,,&bull; System manufacturer and model weren't detected.
Dimension,Device,Second Compute Device Name,The detected system manufacturer and system model of the second endpoint. <br/> Example: microsoft corporation surface pro,,&bull; System manufacturer and model weren't detected.
Dimension,Device,First Device Failure,,,
Dimension,Device,Second Device Failure,,,
Dimension,Wifi,First Wifi Microsoft Driver,,,
Dimension,Wifi,Second Wifi Microsoft Driver,,,
Dimension,Wifi,First Wifi Vendor Driver,,,
Dimension,Wifi,Second Wifi Vendor Driver,,,
Dimension,Wifi,First Wifi Microsoft Driver Version,,,
Dimension,Wifi,Second Wifi Microsoft Driver Version,,,
Dimension,Wifi,First Wifi Vendor Driver Version,,,
Dimension,Wifi,Second Wifi Vendor Driver Version,,,
Dimension,Wifi,First Wifi Channel,,,
Dimension,Wifi,Second Wifi Channel,,,
Dimension,Wifi,First Wifi Radio Type,,,
Dimension,Wifi,Second Wifi Radio Type,,,
Dimension,Wifi,First Wifi Band,,,
Dimension,Wifi,Second Wifi Band,,,
Dimension,Wifi,First Wifi Retry Count,,,
Dimension,Wifi,Second Wifi Retry Count,,,
Dimension,Wifi,First Wifi Handovers,,,
Dimension,Wifi,Second Wifi Handovers,,,
Dimension,Wifi,First Wifi Channel Reassociations,,,
Dimension,Wifi,Second Wifi Channel Reassociations,,,
Dimension,Wifi,First Wifi Channel Switches,,,
Dimension,Wifi,Second Wifi Channel Switches,,,
Dimension,Wifi,First Wifi Signal Strength,,,
Dimension,Wifi,Second Wifi Signal Strength,,,
Dimension,Wifi,First Wifi Battery Charge,,,
Dimension,Wifi,Second Wifi Battery Charge,,,
Dimension,Metrics,First Web Max Session Bandwidth,,,
Dimension,Metrics,Second Web Max Session Bandwidth,,,
Dimension,Metrics,Audio Degradation Avg,Average Network Mean Opinion Score degradation for stream. Represents how much the network loss and jitter impact the quality of received audio. Not for use with SATIN or WebRTC/VDI. Values grouped by range. <br/> **Example value:** 015: [0.01 - 0.02),,&bull; The endpoint receiving the stream reported no network MOS degradation <br/>&bull; The stream isn't an audio stream.
Dimension,Metrics,Jitter,Average jitter for stream in milliseconds. Values grouped by range. <br/> **Example value:** 065: [2 - 3),,&bull; The endpoint receiving the stream reported no jitter data
Dimension,Metrics,Jitter Max,Maximum jitter for stream in milliseconds. Values grouped by range. <br/> **Example value:** 065: [2 - 3),,&bull; The endpoint receiving the stream reported no jitter data
Dimension,Metrics,Packet Loss Rate,Average packet loss rate for stream. Values grouped by range. 0.1 indicates 10% packet loss. <br/> **Example value:** 015: [0.01 - 0.02),,&bull; The endpoint receiving the stream reported no packet loss data
Dimension,Metrics,Packet Loss Rate Max,Maximum packet loss rate for stream. Values grouped by range. 0.1 indicates 10% packet loss. <br/> **Example value:** 023: [0.09 - 0.1),,&bull; The endpoint receiving the stream reported no packet loss data  <br/>&bull; Packet utilization for a given stream is less than 100 packets
Dimension,Metrics,Send Listen MOS,Average MOS for stream. Values grouped by range. <br/> **Example value:** 076: [4.4 - 4.5),,&bull; The endpoint receiving the stream reported no MOS <br/>&bull; The stream isn't an audio stream <br/>&bull; Codec used doesn't report MOS
Dimension,Metrics,Overall Avg Network MOS,Average Network MOS for stream. Values grouped by range. <br/> **Example value:** 076: [4.4 - 4.5),,&bull;  The endpoint receiving the stream reported no network MOS degradation <br/>&bull; The stream isn't an audio stream <br/>&bull; Codec used doesn't report MOS
Dimension,Metrics,Ratio Concealed Samples Avg,Ratio of the number of audio frames with samples generated by packet loss concealment to the total number of audio frames. Values grouped by range. 0.1 indicates 10% of frames contained concealed samples. <br/> **Example value:** 015: [0.01 - 0.02),,&bull; The receiver of the stream didn't report this value <br/>&bull; The stream wasn't an audio stream
Dimension,Metrics,Conceal Ratio Max,The maximum seen number of audio frames with samples generated by packet loss concealment to the total number of audio frames. Values grouped by range. 0.1 indicates 10% of frames contained concealed samples. <br/> **Example value:** 015: [0.01 - 0.02),,
Dimension,Metrics,Ratio Stretched Samples Avg,Ratio of the number of audio frames with samples that are stretched to compensate for jitter or loss to the total number of audio frames. Values grouped by range. 0.1 indicates 10% audio frames contained stretched samples. <br/> **Example value:** 017: [0.03 - 0.04),,&bull; The receiver of the stream didn't report this value  <br/>&bull; The stream wasn't an audio stream
Dimension,Metrics,Healer Packet Drop Ratio,Ratio of audio packets dropped by healer over total number of audio packets received by healer. See [2.2.1.12.1 Child Elements](/openspecs/office_protocols/ms-qoe/56d41628-26d5-44c8-8f79-6bac4b0355a5) for more information.,,
Dimension,Metrics,Healer FEC Packet Used Ratio,Ratio of used Forward Error Correction (FEC) packets over total number of received FEC packets. See [2.2.1.12.1 Child Elements](/openspecs/office_protocols/ms-qoe/56d41628-26d5-44c8-8f79-6bac4b0355a5) for more information.,,
Dimension,Metrics,Round Trip,Average network propagation round-trip time computed as specified in RFC3550 in milliseconds. Values grouped by range. <br/> **Example value:** 070: [15 - 20),,<br/>&bull; The endpoint didn't compute the value <br/>&bull; The value wasn't reported
Dimension,Metrics,Round Trip Max,Maximum network propagation round-trip time computed as specified in RFC3550 in milliseconds. Values grouped by range. <br/>**Example value:** 098: [350 - 375),,<br/>&bull; The endpoint didn't compute the value <br/>&bull; The value wasn't reported
Dimension,Metrics,Packet Utilization,Number of Real-Time Transport Protocol (RTP) packets sent in the session.,,
Dimension,Metrics,Jitter Buffer Size Avg,Average size of jitter buffer during session.,,
Dimension,Metrics,Jitter Buffer Size Max,Maximum size of jitter buffer during session.,,
Dimension,Metrics,Jitter Buffer Size Min,Minimum size of jitter buffer during session.,,
Dimension,Metrics,Relative OneWay Gap Duration,,,
Dimension,Metrics,Audio Post FECPLR,Reports packet loss rate after FEC is applied for audio. Value between 0.00 and 1.00.,,
Dimension,Metrics,Network Jitter Avg,Average of network jitter in milliseconds computed over 20 second windows during the session. Values grouped by range. <br/> **Example value:** 066: [3–4),,<br/>&bull; The stream wasn't an audio stream <br/>&bull; The endpoint receiving the stream didn't report data
Dimension,Metrics,Network Jitter Max,Maximum of network jitter computed over 20 second windows during the session.,,
Dimension,Metrics,Network Jitter Min,Minimum of network jitter computed over 20 second window during the session.,,
Dimension,Metrics,Video Post FECPLR,Packet loss rate after FEC is applied for aggregated across all video streams and codecs. Values grouped by range. <br/> **Example value:** 014: [0 - 0.01),,<br/>&bull; The stream wasn't a video or video-based-screen-sharing stream  <br/>&bull; The endpoint receiving the stream didn't report data
Dimension,Metrics,Video Local Frame Loss Percentage Avg,Average percentage of video frames lost as displayed to the user. Values grouped by range. This includes frames recovered from network losses. <br/> **Example value:** 160: [80 - 85),,<br/>&bull; The stream wasn't a video or video-based-screen-sharing stream  <br/>&bull; The endpoint receiving the stream didn't report data
Dimension,Metrics,Recv Frame Rate Average,Average frames per second received for all video streams computed over the duration of the session. Values grouped by range. <br/> **Example value:** 101: [14.5 - 15),,<br/>&bull; The stream wasn't a video or video-based-screen-sharing stream  <br/>&bull; The endpoint receiving the stream didn't report data
Dimension,Metrics,Low Frame Rate Call Percent,Percentage of time of the call where frame rate is less than 7.5 frames per second. Values grouped by range. <br/> **Example value:** 099: [13.5 - 14),,<br/>&bull; The stream wasn't a video or video-based-screen-sharing stream  <br/>&bull; The endpoint receiving the stream didn't report data
Dimension,Metrics,Video Packet Loss Rate,"Average fraction of packets lost, as specified in RFC3550, computed over the duration of the session. Values grouped by range. <br/> **Example value:** 037: [0.75 - 0.8)",,<br/>&bull; The stream wasn't a video or video-based-screen-sharing stream  <br/>&bull; The endpoint receiving the stream didn't report data
Dimension,Metrics,Video Frame Rate Avg,"Average frames per second received for a video stream, computed over the duration of the session. Values grouped by range. <br/> **Example value:** 135: [31.5 - 32)",,<br/>&bull; The stream wasn't a video or video-based-screen-sharing stream  <br/>&bull; The endpoint receiving the stream didn't report data
Dimension,Metrics,Dynamic Capability Percent,Percentage of time that the client is running < 70% expected video processing capability for this type of CPU grouped by range <br/> **Example value:** 122: [25 - 25.5),,<br/>&bull; The stream wasn't a video or video-based-screen-sharing stream  <br/>&bull; The endpoint receiving the stream didn't report data
Dimension,Metrics,Spoiled Tile Percent Total,"Percentage of tiles which are discarded instead of being sent to a remote peer (for example, from the MCU to a viewer). Values grouped by range. Discarded tiles might be caused by bandwidth restrictions between client and server. <br/> **Example value:** 140: [34 - 34.5)",,<br/>&bull; The stream wasn't an application sharing stream <br/>&bull; The endpoint sending the stream didn't report the data
Dimension,Metrics,AppSharing Relative OneWay Average,Average relative one-way delay between the endpoints in seconds for application sharing streams. Values grouped by range. <br/> **Example value:** 015: [0.01 - 0.02),,<br/>&bull; The stream wasn't an application sharing stream <br/>&bull; The endpoint sending the stream didn't report the data
Dimension,Metrics,AppSharing RDP Tile Processing Latency Average,Average latency in milliseconds processing tiles on the RDP Stack at the conferencing server. Values grouped by range. <br/> **Example value:** 103: [15.5 - 16),,&bull; The stream wasn't an application sharing stream in a conference <br/>&bull; The endpoint sending the stream didn't report the data
Dimension,Metrics,First Network Delay Event Ratio,Fraction of the call that the first endpoint detected the network delay was significant enough to impact the ability to have real-time two-way communication. Values grouped by range. <br/> **Example value:** 016: [0.02 - 0.03),,&bull; Stream was a non-audio stream <br/>&bull; The first endpoint didn't report data
Dimension,Metrics,Second Network Delay Event Ratio,Fraction of the call that the second endpoint detected the network delay was significant enough to impact the ability to have real-time two-way communication. Values grouped by range. <br/> **Example value:** 016: [0.02 - 0.03),,&bull; Indicates a non-audio stream <br/>&bull; The second endpoint didn't report data
Dimension,Metrics,First Network Bandwidth Low Event Ratio,Fraction of the call that the first endpoint detected the available bandwidth or bandwidth policy was low enough to cause poor quality of the audio sent. Values grouped by range. <br/> **Example value:** 016: [0.02 - 0.03),,&bull; Stream was a non-audio stream <br/>&bull; The first endpoint didn't report data
Dimension,Metrics,Second Network Bandwidth Low Event Ratio,Fraction of the call that the second endpoint detected the available bandwidth or bandwidth policy was low enough to cause poor quality of the audio sent. Values grouped by range. <br/> **Example value:** 016: [0.02 - 0.03),,&bull; Indicates a non-audio stream <br/>&bull; The second endpoint didn't report data
Dimension,Metrics,First Mic Glitch Rate,Average glitches per 5 minutes for the microphone capture of the first endpoint. See [2.2.1.12.1 Child Elements](/openspecs/office_protocols/ms-qoe/56d41628-26d5-44c8-8f79-6bac4b0355a5) for more information.,,
Dimension,Metrics,Second Mic Glitch Rate,Average glitches per 5 minutes for the microphone capture of the second endpoint. See [2.2.1.12.1 Child Elements](/openspecs/office_protocols/ms-qoe/56d41628-26d5-44c8-8f79-6bac4b0355a5) for more information.,,
Dimension,Metrics,First Speaker Glitch Rate,Average glitches per 5 minutes for the first loudspeaker rendering.,,
Dimension,Metrics,Second Speaker Glitch Rate,Average glitches per 5 minutes for the second loudspeaker rendering.,,
Dimension,Metrics,First Send Mute Percent,Percentage of the audio stream from the first endpoint where the client was muted.,,&bull; Stream isn't an audio stream <br/> &bull; The first endpoint didn't report data
Dimension,Metrics,Second Send Mute Percent,Percentage of the audio stream from the second endpoint where the client was muted.,,&bull; Stream isn't an audio stream <br/> &bull; The second endpoint didn't report data
Dimension,Metrics,First System CPU Resource Usage Average,The average of the system's overall CPU usage measured for the first endpoint.,,
Dimension,Metrics,Second System CPU Resource Usage Average,The average of the system's overall CPU usage measured for the second endpoint.,,
Dimension,Metrics,First Process Memory Resource Usage Average,The average of the memory usage by the Teams process measured for the first endpoint.,,
Dimension,Metrics,Second Process Memory Resource Usage Average,The average of the memory usage by the Teams process measured for the second endpoint.,,
Dimension,Metrics,First System CPU Resource Usage Max,The maximum value of the system's overall CPU usage measured for the first endpoint.,,
Dimension,Metrics,Second System CPU Resource Usage Max,The maximum value of the system's overall CPU usage measured for the second endpoint.,,
Dimension,Metrics,First Process Memory Resource Usage Max,The maximum value of the memory usage by the Teams process measured for the first endpoint.,,
Dimension,Metrics,Second Process Memory Resource Usage Max,The maximum value of the memory usage by the Teams process measured for the second endpoint.,,
Dimension,Metrics,First System Memory Resource Usage Average,The average of the system's overall memory usage measured for the first endpoint.,,
Dimension,Metrics,Second System Memory Resource Usage Average,The average of the system's overall memory usage measured for the second endpoint.,,
Dimension,Metrics,First System Memory Resource Usage Max,The maximum value of the system's overall memory usage measured for the first endpoint.,,
Dimension,Metrics,Second System Memory Resource Usage Max,The maximum value of the system's overall memory usage measured for the second endpoint.,,
Dimension,Metrics,First Process CPU Resource Usage Average,The average of the CPU usage by the Teams process measured for the first endpoint.,,
Dimension,Metrics,Second Process CPU Resource Usage Average,The average of the CPU usage by the Teams process measured for the second endpoint.,,
Dimension,Metrics,First Process CPU Resource Usage Max,The maximum value of the CPU usage by the Teams process measured for the first endpoint.,,
Dimension,Metrics,Second Process CPU Resource Usage Max,The maximum value of the CPU usage by the Teams process measured for the second endpoint.,,
Dimension,Metrics,First Web Time Muted In Client,,,
Dimension,Metrics,Second Web Time Muted In Client,,,
Dimension,Audio,Audio FEC Used,True indicates that audio forward error correction (FEC) is used at some point during the call. False otherwise,,&bull; The stream wasn't an audio stream <br/>&bull; The endpoint sending the stream didn't report the data
Dimension,Audio,First Audio Render Device In Use,Indicates which hardware device is used for playback of the audio stream on the first endpoint.,,<br/>&bull; The endpoint didn't report the data
Dimension,Audio,Second Audio Render Device In Use,Indicates which hardware device is used for playback of the audio stream on the second endpoint.,,<br/>&bull; The endpoint didn't report the data
Dimension,Audio,First Audio Capture Device In Use,Indicates which hardware device is used for capture of the audio stream on the first endpoint.,,<br/>&bull; The endpoint didn't report the data
Dimension,Audio,Second Audio Capture Device In Use,Indicates which hardware device is used for capture of the audio stream on the second endpoint.,,<br/>&bull; The endpoint didn't report the data
Dimension,Audio,First Audio Codec Average BW,"Indicates the average bandwidth for the first endpoint's audio stream measured, in bytes per second.",,&bull; Stream wasn't an audio stream
Dimension,Audio,Second Audio Codec Average BW,"Indicates the average bandwidth for the second endpoint's audio stream measured, in bytes per second.",,&bull; Stream wasn't an audio stream
Dimension,Audio,First Mic Device Is Speaker Device,Indicates if the same audio device is used by the first endpoint for both capture and rendering.,,
Dimension,Audio,Second Mic Device Is Speaker Device,Indicates if the same audio device is used by the second endpoint for both capture and rendering.,,
Dimension,Audio,First Capture Dev Name,Name of the audio capture device used by the first endpoint.,,
Dimension,Audio,Second Capture Dev Name,Name of the audio capture device used by the second endpoint.,,
Dimension,Audio,First Render Dev Name,Name of the audio playback device used by the first endpoint.,,
Dimension,Audio,Second Render Dev Name,Name of the audio playback device used by the second endpoint.,,
Dimension,Audio,First Network Avg Loss Rate,,,
Dimension,Audio,Second Network Avg Loss Rate,,,
Dimension,Measure,ClassifiedPoorCall,True if one or more streams in the call were classified as poor based on the metrics listed in [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md).,,&bull; The call didn't have sufficient metrics reported to be classified as good or poor
Dimension,Measure,Video Poor Due to Freeze,,,
Dimension,Measure,Video Poor Due To VideoPostFecplr,True if the stream is classified as poor based on the Video Post FEC PLR metric threshold listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Is always False for non-video streams.,,&bull; The endpoint didn't report this data  <br/>&bull; The stream wasn't a video stream.
Dimension,Measure,Video Poor Due To VideoLocalFrameLossPercentageAvg,True if the video stream is classified as poor based on the Video Local Frame Loss Percentage Avg metric threshold listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Is always False for non-video streams.,,&bull; The endpoint didn't report this data  <br/>&bull; The stream wasn't a video stream.
Dimension,Measure,Video Poor Due To VideoFrameRateAvg,True if the video stream is classified as poor based on the Video Frame Rate Avg metric threshold listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Is always False for non-video streams.,,&bull; The endpoint didn't report this data  <br/>&bull; The stream wasn't a video stream
Dimension,Measure,VBSS Poor Due To VideoPostFecplr,True if the video-based screen-sharing stream is classified as poor based on the Video Post FEC PLR metric threshold listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Is always False for non-video based screen-sharing streams.,,&bull; The endpoint didn't report this data <br/>&bull; The stream wasn't a video-based screen sharing stream
Dimension,Measure,VBSS Poor Due To VideoLocalFrameLossPercentageAvg,True if the video-based screen-sharing stream is classified as poor based on the Video Local Frame Loss Percentage Avg metric threshold listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Is always False for non-video based screen-sharing streams.,,&bull; The endpoint didn't report this data <br/>&bull; The stream wasn't a video-based screen sharing stream
Dimension,Measure,VBSS Poor Due To VideoFrameRateAvg,True if the video based screen-sharing stream is classified as poor based on the Video Frame Rate Avg metric threshold listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Is always False for non-video based screen-sharing streams.,,&bull; The endpoint didn't report this data <br/>&bull; The stream wasn't a video-based screen-sharing stream
Dimension,Measure,AppSharing Poor Due To SpoiledTilePercentTotal,True if the application sharing stream is classified as poor based on the Spoiled Tile Percent Total metric threshold listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Is always False for non-application sharing streams.,,&bull; The endpoint didn't report this data  <br/>&bull; The stream wasn't an application sharing stream.
Dimension,Measure,AppSharing Poor Due To RelativeOneWayAverage,True if the application sharing stream is classified as poor based on the Relative One Way Average metric threshold listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Is always False for non-application sharing streams.,,&bull; The endpoint didn't report this data  <br/>&bull; The stream wasn't an application sharing stream
Dimension,Measure,AppSharing Poor Due To RDPTileProcessingLatencyAverage,True if the application sharing stream is classified as poor based on the RDP Tile Processing Latency Average metric threshold listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Is always False for non-application sharing streams.,,&bull; The endpoint didn't report this data  <br/>&bull; The stream wasn't an application sharing stream
Dimension,Measure,Audio Poor Due To Jitter,True if the audio stream is classified as poor based on the Jitter metric threshold listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Is always  False for non-audio streams.,,&bull; The endpoint didn't report this data <br/>&bull; The stream wasn't an audio sharing stream
Dimension,Measure,Audio Poor Due To RoundTrip,True if the audio stream is classified as poor based on the Round Trip metric threshold listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Is always False for non-audio streams.,,&bull; The endpoint didn't report this data <br/>&bull; The stream wasn't an audio sharing stream
Dimension,Measure,Audio Poor Due To PacketLoss,True if the audio stream is classified as poor based on the Packet Loss metric threshold listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Is always False for non-audio streams.,,&bull; The endpoint didn't report this data <br/>&bull; The stream wasn't an audio sharing stream
Dimension,Measure,Audio Poor Due To Degradation,True if the audio stream is classified as poor based on the Degradation metric threshold listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Is always False for non-audio streams. Note: Degradation is deprecated in the classifier.,,&bull; The endpoint didn't report this data <br/>&bull; The stream wasn't an audio sharing stream
Dimension,Measure,Audio Poor Due To ConcealedRatio,True if the audio stream is classified as poor based on the Concealed Ratio metric threshold listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Is always False for non-audio streams. Note: Concealed Ratio is deprecated in the classifier.,,&bull; The endpoint didn't report this data <br/>&bull; The stream wasn't an audio sharing stream
Dimension,Measure,Poor Reason,List of flags that identify why the stream is marked as poor. There might be multiple flags set since there can be multiple reasons why the stream is marked as Poor. Refer to [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md) for details.,,&bull; The stream wasn't classified as poor
Dimension,Measure,Poor,True if the stream has sufficient data to be classified as good or poor and stream is classified as poor. False otherwise.,,
Dimension,Measure,Good,True if the stream has sufficient data to be classified as good or poor and stream is classified as good. False otherwise.,,
